"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/11/04（金）18:52","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/04（金）17:50","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/04（金）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/04（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/04（金）08:37","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","○"
"2022/11/04（金）07:38","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/03（木）15:46","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/03（木）15:40","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/03（木）15:39","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/11/03（木）15:38","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/02（水）21:37","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/02（水）21:24","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/02（水）20:53","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/02（水）18:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/02（水）18:56","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/02（水）18:27","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/02（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/02（水）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/02（水）08:39","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/11/02（水）07:28","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/11/01（火）23:29","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/11/01（火）20:17","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/11/01（火）19:05","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/01（火）18:17","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/01（火）18:17","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/01（火）17:16","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/11/01（火）11:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/01（火）09:51","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/11/01（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/11/01（火）08:27","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/11/01（火）08:02","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
