"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/03/12（土）07:56","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/11（金）19:52","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/11（金）19:48","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/11（金）19:23","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/11（金）19:17","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/03/11（金）09:35","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/11（金）08:48","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/11（金）08:20","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2022/03/11（金）08:10","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/10（木）19:42","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/10（木）19:31","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/10（木）19:11","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/03/10（木）19:07","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/10（木）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/10（木）08:49","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/10（木）08:42","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/10（木）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/09（水）19:00","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/09（水）18:41","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2022/03/09（水）18:29","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/03/09（水）17:56","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/09（水）17:02","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/09（水）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/03/09（水）08:52","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/03/09（水）08:45","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/03/09（水）08:22","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/03/08（火）19:38","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/03/08（火）19:29","1Fサーバールーム","空室検索","空室","-","","","-"
