"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/10/31（月）23:39","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/10/31（月）20:40","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/10/31（月）20:38","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/10/31（月）19:41","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/10/31（月）19:41","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/10/31（月）19:20","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/10/31（月）19:03","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/10/31（月）18:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/10/31（月）16:05","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/10/31（月）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/10/31（月）08:31","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/10/31（月）08:27","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/10/31（月）07:49","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/10/29（土）20:16","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/10/29（土）20:15","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/10/28（金）20:40","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/10/28（金）19:28","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/10/28（金）19:21","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/10/28（金）19:21","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/10/28（金）18:03","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/10/28（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/10/28（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/10/28（金）08:23","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/10/28（金）07:50","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/10/27（木）22:23","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/10/27（木）20:28","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/10/27（木）19:38","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/10/27（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/10/27（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/10/27（木）08:33","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","○"
"2022/10/27（木）07:57","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/10/27（木）00:30","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/10/26（水）19:10","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/10/26（水）18:33","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/10/26（水）18:31","1Fサーバールーム","空室検索","空室","-","","","-"
