"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2021/11/30（火）21:17","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/30（火）20:46","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2021/11/30（火）20:34","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","○"
"2021/11/30（火）19:44","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/11/30（火）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/30（火）08:53","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/11/30（火）08:37","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2021/11/29（月）19:01","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/29（月）19:01","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2021/11/29（月）18:55","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2021/11/29（月）09:24","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/29（月）08:55","5階テナント","警備操作","警備解除","-","US00620322","IDカード／キー","○"
"2021/11/29（月）07:58","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2021/11/29（月）07:58","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2021/11/26（金）20:11","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2021/11/26（金）20:00","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/26（金）19:26","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/11/26（金）19:23","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2021/11/26（金）09:27","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/26（金）08:52","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/11/26（金）08:23","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2021/11/26（金）08:03","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2021/11/25（木）19:58","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/11/25（木）18:58","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2021/11/25（木）18:57","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/25（木）18:36","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2021/11/25（木）09:25","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/25（木）08:48","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/11/25（木）08:16","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2021/11/25（木）08:08","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2021/11/25（木）07:53","3階テナント","警備警報","防犯警報","-","","","○"
"2021/11/25（木）07:51","3階テナント","警備操作","警備開始","-","US00620304","IDカード／キー","○"
"2021/11/25（木）07:51","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2021/11/24（水）19:54","3階テナント","警備操作","警備開始","-","US00620304","IDカード／キー","○"
"2021/11/24（水）19:04","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/11/24（水）18:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/11/24（水）18:04","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","○"
