"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2021/12/29（水）20:38","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/29（水）20:10","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2021/12/29（水）20:09","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2021/12/29（水）20:07","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2021/12/29（水）18:47","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2021/12/29（水）16:52","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/29（水）16:39","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2021/12/29（水）16:23","5階テナント","警備操作","警備解除","-","US00620323","IDカード／キー","○"
"2021/12/28（火）18:46","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2021/12/28（火）18:41","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/28（火）18:21","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2021/12/28（火）12:46","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/12/28（火）12:45","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2021/12/28（火）10:45","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/12/28（火）09:18","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/28（火）08:39","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2021/12/28（火）08:12","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2021/12/28（火）08:11","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/12/27（月）21:43","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2021/12/27（月）19:57","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","○"
"2021/12/27（月）18:57","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/12/27（月）18:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/27（月）09:27","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/27（月）08:50","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/12/27（月）08:41","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2021/12/27（月）08:16","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2021/12/25（土）18:05","5階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2021/12/25（土）18:04","5階テナント","警備操作","警備解除","-","US00620303","IDカード／キー","○"
"2021/12/25（土）18:04","5階テナント","警備警報","防犯警報","-","","","○"
"2021/12/25（土）18:03","5階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2021/12/25（土）17:58","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2021/12/25（土）15:47","3階テナント","警備操作","警備解除","-","US00620303","IDカード／キー","○"
"2021/12/25（土）15:41","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/12/25（土）12:49","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2021/12/25（土）12:49","3階テナント","警備操作","警備解除","-","US00620303","IDカード／キー","○"
"2021/12/25（土）12:38","5階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2021/12/25（土）12:37","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2021/12/25（土）11:49","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/12/25（土）11:16","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2021/12/24（金）20:05","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2021/12/24（金）19:47","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/12/24（金）19:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/24（金）19:05","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","○"
"2021/12/24（金）09:25","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/24（金）08:56","5階テナント","警備操作","警備解除","-","US00620322","IDカード／キー","○"
"2021/12/24（金）08:33","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2021/12/24（金）08:18","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2021/12/24（金）07:27","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2021/12/24（金）07:27","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2021/12/23（木）19:59","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2021/12/23（木）19:58","1Fサーバールーム","空室検索","空室","-","","","-"
"2021/12/23（木）19:26","5階テナント","警備操作","警備開始","-","US00620322","IDカード／キー","○"
"2021/12/23（木）19:09","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2021/12/23（木）10:32","1Fサーバールーム","空室検索","空室","-","","","-"
