"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/05/31（水）21:10","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/31（水）21:10","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/31（水）21:07","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/31（水）20:34","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/31（水）20:32","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/31（水）20:32","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/31（水）20:31","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/31（水）20:31","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/31（水）20:27","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/31（水）20:26","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/31（水）18:40","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/31（水）18:36","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/31（水）09:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/31（水）08:26","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/31（水）07:53","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/31（水）06:32","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/05/30（火）20:04","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/30（火）19:08","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/30（火）19:01","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/30（火）18:41","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/30（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/30（火）08:51","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/30（火）08:02","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/30（火）06:32","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/05/29（月）22:04","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/29（月）18:41","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/29（月）18:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/29（月）18:12","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/29（月）18:12","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/29（月）18:02","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/29（月）18:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/29（月）17:54","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/29（月）17:54","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/29（月）17:34","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/29（月）12:57","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/29（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/29（月）08:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/29（月）06:50","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/05/28（日）21:30","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/28（日）21:29","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/27（土）20:59","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/27（土）20:55","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/05/27（土）16:56","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/27（土）16:54","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/26（金）18:40","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/26（金）18:09","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/26（金）18:06","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/26（金）18:05","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/26（金）18:00","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/26（金）17:33","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/26（金）11:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/26（金）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/26（金）08:55","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/26（金）08:35","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/05/26（金）08:17","3階テナント","警備警報","防犯警報","-","","","○"
"2023/05/26（金）07:53","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/25（木）21:15","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/25（木）19:36","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/25（木）18:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/25（木）17:27","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/25（木）09:30","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/25（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/25（木）07:55","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/25（木）07:02","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/05/24（水）23:33","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/24（水）22:52","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/24（水）22:50","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/05/24（水）21:55","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/24（水）20:26","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/05/24（水）18:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/24（水）11:52","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/24（水）11:16","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/24（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/05/24（水）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/05/24（水）08:06","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/05/24（水）08:04","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/05/23（火）20:40","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/05/23（火）19:52","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/05/23（火）19:50","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
