"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/04/30（日）11:29","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/04/30（日）09:36","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/04/30（日）09:35","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/04/30（日）09:30","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/04/29（土）15:17","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/04/29（土）11:58","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/04/28（金）21:39","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/04/28（金）20:43","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/04/28（金）19:42","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/04/28（金）19:07","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/04/28（金）19:02","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/04/28（金）18:02","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/04/28（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/04/28（金）08:58","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/04/28（金）08:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/04/28（金）07:04","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/04/27（木）20:37","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/04/27（木）18:40","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/04/27（木）18:34","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/04/27（木）18:25","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/04/27（木）18:05","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/04/27（木）17:25","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/04/27（木）09:30","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/04/27（木）08:59","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/04/27（木）08:36","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2023/04/27（木）07:57","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/04/26（水）23:11","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
