"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/01/31（火）21:58","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/31（火）19:13","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/31（火）19:01","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/31（火）18:23","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/31（火）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/31（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/01/31（火）08:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/01/31（火）06:52","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/01/30（月）22:31","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/30（月）19:49","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/30（月）19:18","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2023/01/30（月）19:17","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2023/01/30（月）19:17","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2023/01/30（月）18:08","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/30（月）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/30（月）08:52","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/01/30（月）08:36","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2023/01/30（月）08:12","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/01/29（日）11:35","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/29（日）11:34","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/27（金）23:03","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/27（金）20:40","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/27（金）20:39","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/27（金）18:52","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/27（金）18:10","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/27（金）10:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/27（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/27（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/01/27（金）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/01/27（金）06:41","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/01/26（木）21:29","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/26（木）20:58","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/26（木）19:08","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/26（木）19:06","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/26（木）19:00","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/26（木）18:54","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/26（木）15:57","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/26（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/26（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/01/26（木）08:19","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/01/26（木）06:30","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/01/25（水）21:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/25（水）21:14","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/25（水）19:16","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/25（水）19:15","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/25（水）18:09","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/25（水）18:02","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/25（水）12:43","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/25（水）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/25（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/01/25（水）08:37","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/25（水）08:20","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/01/24（火）21:54","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/24（火）19:07","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/24（火）19:06","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/24（火）18:50","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/24（火）18:46","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/24（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/24（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/01/24（火）08:36","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2023/01/24（火）08:00","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/01/23（月）23:03","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/23（月）20:41","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/23（月）20:41","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/23（月）18:39","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/23（月）18:25","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/23（月）17:49","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/23（月）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/23（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/01/23（月）08:40","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/01/23（月）07:37","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/01/21（土）21:47","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/21（土）21:16","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/01/21（土）18:01","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/01/21（土）17:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/01/21（土）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/01/21（土）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
