"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/12/29（木）11:02","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/29（木）10:57","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/29（木）10:50","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/29（木）10:49","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/29（木）10:38","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/29（木）10:37","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/28（水）22:19","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/28（水）22:17","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/28（水）20:13","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/28（水）19:17","3階テナント","警備操作","警備開始","-","US00620309","IDカード／キー","○"
"2022/12/28（水）18:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/28（水）18:11","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/28（水）17:38","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/28（水）16:34","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/28（水）15:42","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/28（水）10:27","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/28（水）09:17","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/28（水）08:34","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/28（水）08:07","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/27（火）20:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/27（火）20:04","4階テナント","警備操作","警備開始","-","US00620314","IDカード／キー","○"
"2022/12/27（火）19:18","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/27（火）18:49","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/12/27（火）17:49","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/27（火）17:46","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/27（火）17:45","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/27（火）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/27（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/27（火）08:35","4階テナント","警備操作","警備解除","-","US00620314","IDカード／キー","○"
"2022/12/27（火）07:10","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/26（月）22:04","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/26（月）19:50","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/26（月）19:25","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/26（月）19:25","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/26（月）19:19","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/12/26（月）18:14","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/26（月）18:13","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/26（月）17:56","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/26（月）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/26（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/26（月）08:03","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/26（月）07:08","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/24（土）21:37","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/24（土）18:39","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/24（土）18:12","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/24（土）18:11","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/24（土）18:08","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/12/24（土）18:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/24（土）18:01","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/24（土）17:53","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/24（土）12:11","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/24（土）10:03","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/24（土）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/24（土）08:14","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/24（土）08:01","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/23（金）23:00","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/23（金）18:58","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/23（金）18:34","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/23（金）18:10","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/23（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/23（金）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/23（金）08:04","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/23（金）07:19","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/23（金）07:18","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/23（金）07:07","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/22（木）18:05","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/22（木）17:34","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/22（木）17:33","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/22（木）17:06","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/22（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/22（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/22（木）08:30","4階テナント","警備操作","警備解除","-","US00620314","IDカード／キー","○"
"2022/12/22（木）06:31","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/21（水）19:17","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/21（水）19:00","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/21（水）18:53","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/21（水）18:49","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/21（水）18:46","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/21（水）18:03","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/21（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/21（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/21（水）08:13","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/21（水）07:57","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/20（火）20:16","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/20（火）19:17","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/20（火）18:46","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/20（火）18:40","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/20（火）14:47","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/20（火）13:25","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/20（火）11:56","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/20（火）10:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/20（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/20（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/20（火）07:57","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/20（火）07:54","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/19（月）23:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/19（月）23:05","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/19（月）19:18","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/19（月）19:15","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/19（月）18:33","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/19（月）17:31","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/19（月）09:44","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/19（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/19（月）07:48","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/19（月）06:33","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/17（土）20:31","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/17（土）18:20","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/17（土）18:19","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/17（土）18:04","3階テナント","警備操作","警備開始","-","US00620309","IDカード／キー","○"
"2022/12/17（土）17:54","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/17（土）13:02","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/17（土）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/17（土）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/17（土）08:39","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2022/12/17（土）07:45","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/16（金）22:20","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/16（金）22:14","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/16（金）22:13","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/16（金）19:03","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/16（金）18:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/16（金）12:25","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/16（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/16（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/16（金）07:53","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/16（金）07:51","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/15（木）21:01","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/15（木）18:43","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/15（木）18:42","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/15（木）18:10","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2022/12/15（木）17:45","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/15（木）09:30","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/15（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/15（木）07:59","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/15（木）07:08","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/14（水）20:48","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/14（水）18:45","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/14（水）18:44","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/14（水）18:28","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/14（水）18:00","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/14（水）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/14（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/14（水）08:04","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/14（水）07:08","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/13（火）21:08","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/13（火）19:09","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/13（火）19:07","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/13（火）18:47","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/13（火）18:03","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/13（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/13（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/13（火）07:45","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/13（火）07:42","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/12（月）22:09","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/12（月）19:08","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/12（月）19:07","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/12（月）18:49","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/12（月）18:48","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/12（月）17:56","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/12（月）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/12（月）08:57","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/12（月）07:23","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/12（月）06:52","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/10（土）20:14","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/10（土）18:53","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","○"
"2022/12/10（土）18:34","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/10（土）17:59","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/10（土）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/10（土）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/10（土）08:32","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2022/12/10（土）08:02","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/09（金）21:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/09（金）21:02","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/09（金）18:54","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/09（金）18:46","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/09（金）18:39","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/09（金）18:32","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/09（金）09:50","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/09（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/09（金）08:44","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2022/12/09（金）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/08（木）21:44","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/08（木）21:43","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/08（木）21:42","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/08（木）21:02","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/08（木）21:00","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/08（木）20:12","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/08（木）19:32","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/08（木）19:17","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/08（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/08（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/08（木）08:13","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/12/08（木）07:03","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/12/07（水）20:59","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/12/07（水）18:39","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/12/07（水）18:36","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/12/07（水）18:34","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/12/07（水）18:14","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/12/07（水）18:10","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/12/07（水）18:07","3階テナント","警備操作","警備開始","-","US00620309","IDカード／キー","○"
