"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/03/31（金）19:49","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/03/31（金）19:07","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/03/31（金）17:56","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/03/31（金）12:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/31（金）09:46","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/31（金）08:51","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/03/31（金）08:40","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/03/31（金）08:10","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/03/30（木）18:02","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","○"
"2023/03/30（木）17:46","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/03/30（木）17:29","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/03/30（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/30（木）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/03/30（木）08:22","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/03/30（木）07:02","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/03/29（水）20:01","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/03/29（水）18:38","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/03/29（水）18:31","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/03/29（水）12:01","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/29（水）11:24","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/29（水）09:30","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/29（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/03/29（水）08:16","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/03/29（水）07:03","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/03/28（火）21:54","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/03/28（火）21:00","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/03/28（火）20:53","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/03/28（火）20:41","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/03/28（火）20:06","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/03/28（火）16:19","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/28（火）09:45","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/28（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/03/28（火）08:20","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/03/28（火）07:50","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/03/28（火）00:02","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/03/27（月）18:14","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/03/27（月）18:00","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/03/27（月）15:54","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/27（月）14:53","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/27（月）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/03/27（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/03/27（月）08:40","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","○"
"2023/03/27（月）07:55","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/03/26（日）20:12","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/03/26（日）18:12","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/03/26（日）14:58","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/03/26（日）14:58","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
