"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2023/02/11（土）14:45","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/10（金）22:40","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/10（金）19:03","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/10（金）18:31","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2023/02/10（金）17:58","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/10（金）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/10（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/10（金）08:03","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/10（金）06:46","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/02/09（木）22:49","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/09（木）21:22","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/09（木）18:35","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/09（木）18:24","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/09（木）18:21","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/09（木）18:10","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/09（木）11:35","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/09（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/09（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/09（木）08:24","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/09（木）07:53","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/08（水）22:37","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/08（水）22:06","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/08（水）19:41","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/08（水）19:35","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/08（水）19:10","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/08（水）18:29","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/08（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/08（水）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/08（水）08:28","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2023/02/08（水）07:48","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/07（火）21:44","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/07（火）19:32","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/07（火）19:29","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2023/02/07（火）18:58","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/07（火）09:34","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/07（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2023/02/07（火）08:34","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/07（火）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2023/02/06（月）22:23","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2023/02/06（月）19:47","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2023/02/06（月）19:47","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2023/02/06（月）18:47","1Fサーバールーム","空室検索","空室","-","","","-"
"2023/02/06（月）18:21","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
