"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/08/05（金）09:07","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/05（金）09:00","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/08/05（金）08:52","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/04（木）22:36","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/04（木）20:08","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/04（木）19:37","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/04（木）18:39","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/04（木）18:18","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/04（木）18:02","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/04（木）09:50","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/04（木）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/04（木）06:15","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/08/03（水）20:51","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/03（水）19:53","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/03（水）19:20","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/03（水）18:19","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/03（水）16:12","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/03（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/03（水）08:09","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/03（水）06:15","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/08/02（火）20:24","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/02（火）19:30","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/02（火）18:59","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/08/02（火）18:01","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/02（火）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/02（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/02（火）08:04","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/02（火）06:14","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/08/01（月）21:04","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/01（月）20:32","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/08/01（月）19:58","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/08/01（月）19:57","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/01（月）18:23","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/01（月）17:49","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/08/01（月）16:39","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/01（月）12:13","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/08/01（月）08:56","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/08/01（月）08:03","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/08/01（月）06:16","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
