"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/09/30（金）21:14","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/30（金）19:52","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/30（金）19:10","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/30（金）18:53","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/30（金）18:48","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/30（金）18:48","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/30（金）18:43","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/30（金）09:42","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/30（金）08:57","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/30（金）08:40","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/30（金）08:39","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/30（金）08:36","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","-"
"2022/09/30（金）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/30（金）01:05","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/29（木）19:04","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/29（木）18:52","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/29（木）18:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/29（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/29（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/29（木）08:17","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/29（木）06:30","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/09/28（水）21:39","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/28（水）19:55","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/28（水）19:00","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/28（水）17:41","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/28（水）16:22","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/28（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/28（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/28（水）08:49","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/28（水）08:32","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/28（水）08:30","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/28（水）07:58","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/09/27（火）21:21","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/27（火）20:49","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/27（火）18:11","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/27（火）17:56","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/27（火）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/27（火）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/27（火）08:00","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/27（火）06:39","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/09/26（月）22:14","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/26（月）19:23","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/26（月）19:22","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/09/26（月）18:53","3階テナント","警備操作","警備開始","-","US00620303","IDカード／キー","-"
"2022/09/26（月）18:53","3階テナント","警備操作","警備解除","-","US00620303","IDカード／キー","-"
"2022/09/26（月）18:44","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/26（月）18:42","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/26（月）17:59","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/26（月）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/26（月）08:56","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/26（月）08:01","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/09/26（月）07:54","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/25（日）17:54","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/25（日）15:45","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/23（金）19:21","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/23（金）19:20","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/09/22（木）19:01","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/22（木）18:29","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","-"
"2022/09/22（木）17:41","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/22（木）17:33","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/22（木）17:32","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/22（木）16:55","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/22（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/22（木）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/22（木）08:08","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/22（木）07:17","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/09/21（水）20:47","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/21（水）19:26","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/21（水）18:57","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/21（水）17:49","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/21（水）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/21（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/21（水）08:41","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/21（水）07:23","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/09/20（火）20:48","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/20（火）19:21","3階テナント","警備操作","警備開始","-","US00620309","IDカード／キー","-"
"2022/09/20（火）19:20","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","-"
"2022/09/20（火）18:56","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/20（火）17:32","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/20（火）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/20（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/20（火）08:52","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/20（火）08:51","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/20（火）08:10","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/20（火）07:59","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","-"
"2022/09/18（日）11:34","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/18（日）11:34","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/17（土）19:48","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/17（土）18:56","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/17（土）18:25","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","-"
"2022/09/17（土）17:56","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/17（土）09:38","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/17（土）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/17（土）08:09","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
"2022/09/17（土）07:57","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/16（金）20:33","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/16（金）19:55","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/16（金）19:42","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","-"
"2022/09/16（金）19:41","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","-"
"2022/09/16（金）18:26","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","-"
"2022/09/16（金）17:34","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/16（金）09:33","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/16（金）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/16（金）08:29","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/16（金）07:20","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/09/15（木）21:14","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/15（木）19:22","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/09/15（木）19:21","3階テナント","警備操作","警備解除","-","US00620308","IDカード／キー","-"
"2022/09/15（木）19:20","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","-"
"2022/09/15（木）18:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/15（木）17:44","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/15（木）14:29","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/15（木）09:31","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/15（木）09:00","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/15（木）07:31","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/15（木）07:19","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/09/14（水）20:44","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/14（水）18:36","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/14（水）18:36","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/14（水）18:34","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/14（水）18:32","3階テナント","警備操作","警備開始","-","US00620310","IDカード／キー","-"
"2022/09/14（水）18:01","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/14（水）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/14（水）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/14（水）08:02","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/14（水）07:18","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","-"
"2022/09/13（火）21:43","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","-"
"2022/09/13（火）19:07","3階テナント","警備操作","警備開始","-","US00620309","IDカード／キー","-"
"2022/09/13（火）19:06","3階テナント","警備操作","警備解除","-","US00620309","IDカード／キー","-"
"2022/09/13（火）18:44","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/13（火）18:13","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","-"
"2022/09/13（火）17:48","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","-"
"2022/09/13（火）11:50","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/13（火）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/09/13（火）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","-"
"2022/09/13（火）08:07","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","-"
"2022/09/13（火）07:59","3階テナント","警備操作","警備解除","-","US00620311","IDカード／キー","-"
