"日時","地区","種類","内容","警備エリア","操作者","警備操作方法","メール"
"2022/04/11（月）18:31","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/04/11（月）18:21","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/04/11（月）12:38","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/11（月）09:01","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/04/11（月）08:46","3階テナント","警備操作","警備解除","-","US00620310","IDカード／キー","○"
"2022/04/11（月）08:06","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/09（土）18:48","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/09（土）18:36","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/04/09（土）18:34","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/04/09（土）18:13","3階テナント","警備操作","警備開始","-","US00620313","IDカード／キー","○"
"2022/04/09（土）18:13","3階テナント","警備操作","警備解除","-","US00620313","IDカード／キー","○"
"2022/04/09（土）18:05","3階テナント","警備操作","警備開始","-","US00620305","IDカード／キー","○"
"2022/04/09（土）08:55","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/04/09（土）08:46","3階テナント","警備操作","警備解除","-","US00620305","IDカード／キー","○"
"2022/04/09（土）08:16","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/08（金）18:47","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/04/08（金）18:23","3階テナント","警備操作","警備開始","-","US00620308","IDカード／キー","○"
"2022/04/08（金）18:21","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
"2022/04/08（金）09:32","1Fサーバールーム","空室検索","空室","-","","","-"
"2022/04/08（金）08:55","5階テナント","警備操作","警備解除","-","US00620320","IDカード／キー","○"
"2022/04/08（金）08:46","3階テナント","警備操作","警備解除","-","US00620304","IDカード／キー","○"
"2022/04/08（金）08:05","4階テナント","警備操作","警備解除","-","US00620315","IDカード／キー","○"
"2022/04/07（木）21:22","5階テナント","警備操作","警備開始","-","US00620320","IDカード／キー","○"
"2022/04/07（木）20:51","4階テナント","警備操作","警備開始","-","US00620315","IDカード／キー","○"
